0A_Voltage,0A_Current,0B_Voltage,0B_Current
+0.0004,-0.0002,+3.2509,+0.0000
+0.0004,-0.0002,+3.2510,+0.0000
+0.0004,-0.0003,+3.2511,+0.0000
+0.0004,-0.0002,+3.2513,+0.0001
+0.0004,-0.0001,+3.2514,+0.0000
+0.0004,-0.0002,+3.2515,-0.0001
+0.0004,-0.0002,+3.2515,+0.0000
+0.0004,-0.0002,+3.2514,+0.0000
+0.0004,-0.0003,+3.2515,+0.0000
+0.0000,-0.0002,+3.2515,+0.0001
+0.0002,-0.0002,+3.2516,+0.0000
+0.0003,-0.0002,+3.2517,-0.0001
+0.0003,-0.0002,+3.2516,+0.0000
+0.0003,-0.0001,+3.2514,-0.0001
+0.0004,-0.0003,+3.2515,+0.0000
+0.0003,-0.0002,+3.2516,-0.0001
+0.0004,-0.0002,+3.2517,+0.0000
+0.0003,-0.0002,+3.2517,+0.0000
+0.0003,-0.0003,+3.2517,-0.0001
+0.0004,-0.0002,+3.2516,+0.0000
+0.0004,-0.0003,+3.2516,+0.0000
+0.0004,-0.0002,+3.2517,+0.0000
+0.0003,-0.0003,+3.2517,+0.0000
+0.0004,-0.0002,+3.2517,+0.0000
+0.0003,-0.0004,+3.2517,+0.0000
+0.0003,-0.0003,+3.2517,+0.0000
+0.0003,-0.0003,+3.2517,+0.0000
+0.0004,-0.0002,+3.2517,+0.0000
+0.0004,-0.0003,+3.2518,-0.0001
+0.0004,-0.0002,+3.2517,-0.0002
+0.0004,-0.0002,+3.2517,+0.0000
+0.0003,-0.0001,+3.2517,-0.0001
+0.0004,-0.0002,+3.2517,-0.0001
+0.0003,-0.0002,+3.2517,+0.0000
+0.0004,-0.0002,+3.2517,+0.0000
+0.0004,-0.0001,+3.2518,-0.0001
+0.0004,-0.0002,+3.2517,-0.0001
+0.0003,-0.0002,+3.2517,+0.0000
+0.0004,-0.0003,+3.2517,-0.0001
+0.0004,-0.0002,+3.2517,+0.0000
+0.0004,-0.0003,+3.2518,-0.0001
+0.0004,-0.0001,+3.2518,-0.0001
+0.0004,-0.0003,+3.2517,-0.0001
+0.0003,-0.0002,+3.2517,+0.0000
+0.0004,-0.0002,+3.2517,-0.0001
+0.0004,-0.0002,+3.2517,+0.0000
+0.0003,-0.0002,+3.2517,+0.0000
+0.0004,-0.0002,+3.2518,-0.0001
+0.0004,-0.0003,+3.2517,-0.0001
+0.0003,-0.0003,+3.2517,+0.0000
+0.0004,-0.0002,+3.2517,-0.0001
+0.0004,-0.0002,+3.2518,-0.0001
+0.0003,-0.0002,+3.2518,+0.0000
+0.0004,-0.0002,+3.2518,-0.0002
+0.0003,-0.0003,+3.2518,+0.0001
+0.0004,-0.0004,+3.2518,-0.0001
+0.0004,-0.0004,+3.2517,+0.0000
+0.0008,-0.0002,+3.2517,+0.0000
+0.0005,-0.0003,+3.2518,+0.0001
+0.0003,-0.0001,+3.2518,+0.0000
+0.0002,-0.0001,+3.2518,+0.0000
+0.0004,-0.0003,+3.2518,+0.0000
+0.0002,-0.0002,+3.2517,+0.0000
+0.0002,-0.0002,+3.2517,+0.0000
+0.0003,-0.0004,+3.2517,+0.0000
+0.0002,-0.0001,+3.2519,-0.0001
