0A_Voltage,0A_Current,0B_Voltage,0B_Current
+3.2897,-0.0002,+3.2517,+0.0000
+3.2900,-0.0002,+3.2517,-0.0001
+3.2900,-0.0002,+3.2517,+0.0000
+3.2900,-0.0002,+3.2517,+0.0000
+3.2898,-0.0001,+3.2518,-0.0001
+3.2898,-0.0002,+3.2517,+0.0000
+3.2898,-0.0002,+3.2517,+0.0000
+3.2898,-0.0002,+3.2516,-0.0001
+3.2901,-0.0002,+3.2517,+0.0000
+3.2902,-0.0002,+3.2517,-0.0001
+3.2901,-0.0002,+3.2518,+0.0001
+3.2899,-0.0002,+3.2517,-0.0001
+3.2900,-0.0002,+3.2517,+0.0000
+3.2899,-0.0002,+3.2517,-0.0001
+3.2899,-0.0002,+3.2517,+0.0000
+3.2898,-0.0002,+3.2517,+0.0001
+3.2901,-0.0001,+3.2517,+0.0000
+3.2899,-0.0002,+3.2517,+0.0000
+3.2902,-0.0002,+3.2517,-0.0001
+3.2901,-0.0002,+3.2517,+0.0000
+3.2901,-0.0002,+3.2517,+0.0001
+3.2901,-0.0002,+3.2517,+0.0000
+3.2899,-0.0002,+3.2517,+0.0000
+3.2898,-0.0001,+3.2517,+0.0000
+3.2903,-0.0002,+3.2517,-0.0001
+3.2902,-0.0002,+3.2517,-0.0001
+3.2898,-0.0001,+3.2517,-0.0001
+3.2899,-0.0002,+3.2517,+0.0000
+3.2902,-0.0002,+3.2518,-0.0001
+3.2900,-0.0002,+3.2518,+0.0000
+3.2897,-0.0002,+3.2517,+0.0000
+3.2898,-0.0002,+3.2517,+0.0000
+3.2898,-0.0002,+3.2517,+0.0000
+3.2901,-0.0003,+3.2517,-0.0001
+3.2900,-0.0002,+3.2517,-0.0001
+3.2899,-0.0002,+3.2518,+0.0000
+3.2900,-0.0002,+3.2518,-0.0001
+3.2898,-0.0002,+3.2517,-0.0001
+3.2897,-0.0003,+3.2517,+0.0000
+3.2900,-0.0002,+3.2517,-0.0001
+3.2899,-0.0003,+3.2517,-0.0001
+3.2901,-0.0003,+3.2517,+0.0000
+3.2899,-0.0003,+3.2517,-0.0001
